speech,class
"The Arabs are several hundred million if they were all terrorists they would have already destroyed Europe. The terrorists are a minority, which often damages other Arabs: in the attacks committed by Arabs, there have been many more Arab victims than European victims. Much is said about the terrorist attacks in Europe, but there are many more attacks in Asia and Africa.",1
"Castration? Do you think it is a punishment to propose in a society that defines itself modern and respects the rights? To me, it seems a medieval punishment.",1
The sins of the individual cannot be sustained by the entire population.,1
"Watch out historical recurrences, this time blast-furnace will light!",0
How would you feel if for going to church on Sunday you should go to another region?,1
"Yeah, because here in Italy no one has ever beat his wife .",1
"Islam is a religion of love, the fundamentalism of jihad is not Islamism.",1
The cultures can co-exist if there is the value of mutual respect.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
"The Arabs are not all terrorists, a generalization like this is dangerous, as it is dangerous to think to solve the problem of terrorism by answering with the same violence.",1
"Apart from a small intollerant portion, most Muslims are interested only in practice their religion peacefully.",1
"To belong to the Muslim religion does not mean being criminals, do not come across in these dangerous clichés.",1
This statement that you express in this comment is false. Where did you get this information?,1
"They began to build mosques everywhere, and so they compete with our churches.",0
"Do you really think that terrorism is an ethnic character? And the mafia, for example, how do you explain it?",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Serial sowers of hate and lies could also end up on boats one day.,1
The Muslims are all fanatics and want to rule in our home!,0
"In Italy, it is easier to die of measles because of those who do not want the vaccines, instead of dying from tropical diseases.",1
Muslims in Italy are about 2% of the population. I find it difficult to think that they become a majority. And in any case many Muslim women do not wear the veil.,1
There are many of them and they will conquer the world.,0
"It's right that every religion can have a place of worship in which to profess their beliefs, as required by our constitution.",1
The ratio between churches and mosques is obviously unbalanced in favour of the first.,1
"The Arabs have no interest in conquering Europe. The majority want to live in peace, as the majority of Italians.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
"The war has brought nothing but despair, so why do you say this?",1
"No one has the right to beat his wife, Italian or Muslim. It is illegal, and the law punishes everyone equally.",1
"Muslims do not hate Christians. They simply profess a religion different from ours that, however, is based on love and brotherhood.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
Bombs and napalm are to ban for those who have not yet understood that we would all die.,1
"I find your comment extremely violent, it worries me.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
I do not see any mosque.,1
What makes you think that Muslims want us to adapt to their culture?,1
"The Islamic terrorists actually are not very religious, they are second generation, grown in the absence of values ",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Islamics must adapt to our culture and not viceversa.,0
"In Europe we have different forms of terrorism eta, ira, even in Italy we have had various forms of terrorism, black and red. Even the Mafia has used terrorist strategies.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
I think it's fair to argue such a statement with data and reliable information. Far away then from clichés completely unfounded.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
"They began to build mosques everywhere, and so they compete with our churches.",0
Islamics must adapt to our culture and not viceversa.,0
"Not all who 'come with the boat' are Arabs, there are also Christians and agnostics, to all of them would be enough to practice their religion as well as the law allows.",1
The Muslim religion is not to be feared because it is different from ours. We have to work for integration.,1
"Damn bastards, they want us to close all churches.",0
"There is an alternative to war, that is dialogue. If you do not learn to dialogue you can never achieve peace and cohesion.",1
"Muslims are not terrorists !!! Terrorism is a tragic and violent deviation of the radicals, but it is important not to throw the baby out with the bathwater.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,0
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
You can quote me some cases where an Arab tried to impose his religion in Italy?,1
I believe that many Arabs were instead damaged in the history by Europeans that they would have sent back to their homeland on rafts and dinghies.,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"They began to build mosques everywhere, and so they compete with our churches.",0
"Everyone has the right to pray in their own place of worship. Their mosques are not competing with the Christian churches, even between the two religions we can establish a relationship of dialogue.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
We Italians would never want to be generalized with the crimes committed by our fellow mobsters. Why should we do the same with foreign citizens or of other religions?,1
Do you know the number of Muslims in Italy? I do not believe they are so many to be able to 'impose' Islam on us. Historically are Christians who travel the world trying to convert others.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Muslims hate Christians. They want to kill all of us.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
Your answer seems dictated more by hatred than by rationality.,1
Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"What do you mean with the term 'Arab'? If you refer to who profess Islamic faith, not necessarily they coincide with the inhabitants of the Arab countries, as in these countries also live minorities of Christians.",1
"Damn bastards, they want us to close all churches.",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Damn bastards, they want us to close all churches.",0
"Hi, I understand that the perception of the phenomenon is sometimes amplified by some media, but the number of Muslims in Italy is even less than 5%.",1
Why do you want to do something so cruel? Where does your hatred come from?,1
No Muslim has ever said that Italian women should wear the veil.,1
"Allowing the construction of a mosque confers credit to us, it means respecting the other in all its diversity.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Terrorists are a very small part of Islam. Most Muslims fear terrorism as Christians.,1
These animals.,0
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
I live in a city absolutely multiethnic and does not seem to me that nothing alarming happens.,1
Muslims always lie and take advantage of everything.,0
"These Muslims now want also to impose their food, only them should eat cous cous! I want my children to eat pork meat, which is good for them.",0
Not all Muslims are fundamentalists.,1
"Instead, the non-Muslims that kill them, which punishment must serve, as they often are on the loose but dangerous?",1
"So are we all mobsters, including you and I?",1
"Hi, do you really believe that the decision to introduce in a part of the school menu a food anyway considered healthy as the couscous is a symptom of an alleged will to impose a religion?",1
"The school is a lay institution, there should be no religious symbols of any kind.",1
I met Muslims and they have no feeling of hatred towards Catholics.,1
It does not appear to me that there are data to support this theory.,1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"The Italians are all thieves and mobsters, the Swiss are all punctual, Africans are all poor, all Germans are Nazis. But on what basis do you make these statements? .you are just following clichés without any foundation.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
They come to submit us. This is the ideological project that Islam has always pursued .,0
The beasts.,0
The terrorist criminals are only extremists parts justified by a deviated reading of Islam.,1
Muslims rape our women and must be neutered.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
A real Islamic invasion is taking place.,0
No Arab has expected to impose its decisions on Italians but they simply ask that the Islamic community is allowed to practice their religion and to live according to their own culture.,1
Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,0
1.on what basis you define this an invasion? 2. Can you explain your point of view?,1
"Bombs on you, bad infamous people (enough is enough stinky)",0
"I personally know the beautician Laila, the waitress Hind, the gardener Malik. All Muslims, no terrorist.",1
"Certainly terrorism is a problem, but killing is definitely not the best solution.",1
"The fact that there are criminals of the Muslim religion does not make all Muslims criminals, as well as the fact that there are Catholic criminals, does not make all Catholics criminals.",1
I think as long as they do not force us to eliminate churches and ham there is nothing to be alarmed about;).,1
"Unfortunately, violence against women is a cross fact that happens in every country, in every corner, and the victims are us, us women, so let's not make it an issue of nation, ethnicity, religion, a crime is a crime, whoever does it and castration does not really seem the solution to the problem.",1
"I do not see animals, we are all human beings, some persons behave very badly, but they remain human beings.",1
"Everyone can maintain their own culture, but you must also try to understand the others one without discrimination and prejudice based on ignorance.",1
And war it is.You don't pass over here troglodytes.,0
Islamics must adapt to our culture and not viceversa.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
"I think that they try to keep their identity and I do not see anything wrong with it, where their customs conflict with ours we create space for dialogue.",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"They don't impose the veil even to the girls, so it seems to me that they respect the freedom to choose the veil. Does not it seem to you?",1
"Being of Arab origin does not mean being terrorists, avoid generalizations that lead only to more hatred.",1
"Stop foreigners in Italy, they are all Muslims who threaten our cultural traditions, we must eliminate them!",0
The beasts.,0
"This are shameful and horrendous crimes, many times perpetrated within the home and within the family.",1
The largest group of foreigners in Italy is Romania that profess Orthodox - Christian faith.,1
I suggest you to see what the atomic bomb have made on Hiroshima and Nagasaki. Do you really want this to happen again?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Muslims have never raped anyone only because they are Muslims.,1
The hatred against the West is not necessarily religious: much of this hatred has been developed as a result of the actions of Western countries at their home.,1
"We are a civilized country, why should we deny the construction of places of worship to religious communities?",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Although terrorism is a phenomenon that has to be monitored not all Arabs are terrorists and generalize in this way leads to a lot of ignorance.,1
Why instead of bombs it's not possible to establish a peaceful dialogue and seek the coexistence?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Castration only for Muslims or also for all Italians who commit rape?,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Criminal liability is personal, a whole category cannot pay for the errors of few.",1
"Honestly, I see around many more Muslim women without burqa or veil than women dressed like Europeans.",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
I would prefer the Martians than these fucking Muslims.,0
Muslims hate Christians. They want to kill all of us.,0
"Many of the current countries with a Muslim majority have been beacons of civilization, just think of the vital contribution made by Arab culture to our development in all sectors, including mathematics, astronomy, literature etc .",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"For all I know, the crucifix is ",1
They ask only to be able to practice their religion.,1
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
Were you threatened with death as a Christian?,1
The idea of,1
To what immigrants do you refer in particular?,1
"There is a solution to violence, that is the dialogue. We must try to communicate with people who have different cultures, not isolate ourselves.",1
"I don't think responding to violence with violence has ever solved the problem; I wish however to point out that generalizations like the one you made are misleading, some Arabs are terrorists, as some Italians are mobsters, but not all Arabs are terrorists and not all Italians are mobsters.",1
At school there are people of all faiths and even atheists. Why there should be a crucifix?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Do you mean the saudis for arabs?,1
Muslims hate Christians. They want to kill all of us.,0
"Are you worried that Italians may have competitors? It seems that italian men get busy, a feminicide every 72 hours!",1
Die islamic!,0
"No one is preventing you to profess your religion, you can continue to be a Christian even if the crucifix isn't in schools.",1
"I do not agree. There are really emancipated Muslim women, do you know the models Gigi and Bella Hadid? They are Muslim, did you know?",1
"The last bastion that we will have, will be the atomic bomb.",0
The Islamic religion is not a religion that professes violence. Islamic terrorists have nothing to do with religion.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
And war it is.You don't pass over here troglodytes.,0
"In Italy everyone is free to practice their religion, also muslims.",1
They do not seem to do all this to me. We must work to find common agreement.,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
A real Islamic invasion is taking place.,0
They impose us their culture.,0
Muslims hate Christians. They want to kill all of us.,0
"That's why I, a woman, can no longer drive!",1
"It's up to us to make them participate in the achievements of our society, especially in terms of human rights. Cohabitation is inescapable.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Have you ever felt that soon it will be necessary to convert to Islam to keep living in our society?,1
"I understand the fear linked to these horrendous crimes, but they should be condemned regardless of nationality.",1
"Italy is our home and of all those who seek to escape death and misery, as well as the law, common sense and civil charity want.",1
"Hi, I think that even in such a sensitive time is important not to confuse terrible acts of violence with religion itself, which does not provide in any of its provisions such acts.",1
"It's a horrendous fact, but to generalize and direct the hatred on a single community is infamous. The problem of violence against women, and unfortunately, these hideous crimes are mostly committed by Italians, at home.",1
"Italy is a laic state and as such, schools and public offices should be free from any religious influence. Culture is too precious to be sold to these guerrillas.",1
"Where do you see all this? Frankly, I do not find feedback to your statements.",1
Could you tell me please where did you obtain this information? Because they are not true.,1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
Islamics must adapt to our culture and not viceversa.,0
They will blow up all of us in order to force us to their faith.,0
"Muslims do not hate anyone, they pray God as Christians, individuals sometimes hate and kill.",1
"Hello, actually the number of Muslims in Italy amount to just under 5% of the total population: do you believe that it is possible to talk about replacing?",1
I wish all of them would die.,0
Aren't you generalizing?,1
"In comparison to cases of violence in Italy made by foreigners, which are 15% of the total, Italians have the 80% at home and proudly the world record as sex tourists in poor countries. The arrogance of money does not exonerate them, that's double violence.",1
The frequency of violence is related to social status more than to religion. Inclusion and social differences are a basic bigger problem from which derive these problems.,1
"With violence and wars nothing good is gained, we must instead seek a peaceful solution. If you inform yourself, you will find out that the Arabs are not all terrorists and some are not even Muslims.",1
"The issue of the Islamic veil is complex, it is not a religious prescription but cultural. Islam has within itself many different positions on the subject.",1
Islamics must adapt to our culture and not viceversa.,0
"Talking of 'Islamic invasion' assumes that all the people who come are Muslim, well it isn't like that! Africa is not Islam.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"It seems to me there isn't a prevalence of Italian women (if by 'our' you referred to those) raped by Muslims rather than by their fathers, husbands, confessors priests .",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Responding to violence with violence is never the best answer. And history should teach us. Also, it would be good to do not throw the baby out with the bath water. Terrorism is not just a given geographic or ethnic belonging.",1
"To profess and practice their religion is not 'impose' but to exercise, it's an inalienable right.",1
"The Arabs are not all terrorists, a generalization like this is dangerous, as it is dangerous to think to solve the problem of terrorism by answering with the same violence.",1
"The Italians are all thieves and mobsters, the Swiss are all punctual, Africans are all poor, all Germans are Nazis. But on what basis do you make these statements? .you are just following clichés without any foundation.",1
"Actually, terrorism is not an Islamic phenomenon: in America, there is an attack every day, not in the name of Allah.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
I do not know any Muslim who raped non-muslim women.,1
"The coexistence and knowledge of Islamic culture can only enrich us and make us less ignorant, not leading to a historical recurrence.",1
The Muslim population has the right to practice their beliefs.,1
"No one has the right to beat his wife, Italian or Muslim. It is illegal, and the law punishes everyone equally.",1
The one about the crucifix removed from schools is a fake news that people like a lot at Christmas.,1
"There are more civil ways to constructively criticize, these lies also harm those who utter them.",1
"Gender-based violence is not an Islamic problem, it's a social problem of all.",1
A real Islamic invasion is taking place.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
I agree that Muslims should adapt to our environment. But we must also talk to them. Only like this we can create a relationship of coexistence and peace.,1
"Many of the recent Islamist terrorist attacks were not made by Arabs. For example, Turks, Iranians, Pakistanis, Bangladeshis etc. Are not Arabs.",1
"We have hundreds of muslims workers that are very quiet in Italy, are they all dormant terrorists?",1
"Terrorism is a widespread phenomenon in the world, among Arab, European, American and many Asian and African peoples. It is not possible to consider all Arabs terrorists. There was terrorism also in Italy: are all Italians terrorists?",1
"Muslims don't hate Christians. Christians have much in common with Muslims in the religious field. Furthermore, the Koran proclaims religious tolerance.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
"They began to build mosques everywhere, and so they compete with our churches.",0
Muslims hate Christians. They want to kill all of us.,0
"Hi, could you better explain what you mean by Islamic invasion? Could you tell me some datas that support this statement?",1
"Good evening, if I understand correctly, you're telling me that all adult men of Islamic faith present in Italy, rape or will rape Italian women? Can you bring in data that support your theory?",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"Well, if we must castrate all Italians who raped and beat their women, then we should put in jail several of them, because unfortunately when you beat and molest a woman in Italy, even in trials are the women that take a beating.",1
In Italy Muslims are one million and three hundred thousand: it seems logical that they have places in which to pray.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
Muslims rape our women and must be neutered.,0
"The last bastion that we will have, will be the atomic bomb.",0
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
"The vast majority of Muslim women living in Europe wear the veil voluntarily, respecting the religious beliefs of Islam, no one imposes it to them! There is no intention to convert to Islam Italian women.",1
"Watch out historical recurrences, this time blast-furnace will light!",0
Muslims hate Christians. They want to kill all of us.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
Forcing to have in front of the eyes a religious symbol is respect.,1
"These are stereotypes and prejudices that kill any chance of comparison and that cause intolerance and unjustified hatred. Following the clichés is not constructive, we must inquire and open our mind.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Those who arrive in boats run away from famine, war, violence, moreover, often the situation at their home is also caused by us.",1
"Damn bastards, they want us to close all churches.",0
"The migrants are fleeing from situations where it was impossible to continue to live, they are leaving everything to board themselves on boats with absent safety standards in hope of finding a country where they can live in peace. I do not think that their purpose is to control and impose their religion.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
It does not seem to me that are Muslims the ones that rape women in Italy.,1
Castration is not provided by our legal system.,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"They began to build mosques everywhere, and so they compete with our churches.",0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
Do you mean the saudis for arabs?,1
They impose us their culture.,0
Terrorism does not depend on religion.,1
"Why do you attribute this adjective to Muslims, who are men like us?",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
But why follow the stereotypes and completely unfounded prejudices without facts and data?,1
"Regarding diseases, it is a fake news that those arriving in Italy bring new illnesses: every immigrant, as soon as arrives on the Italian territory, undergoes medical prophylaxis.",1
"Not true, Muslims are not invaders for definition, and Christianity is still the first religion in Italy.",1
Muslims always lie and take advantage of everything.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
"If we throw bombs and commit violence it's impossible to reach a final and peaceful solution, only new conflicts will be generated.",1
"Even in Europe, there is terrorism, what do we do? Should we throw napalm on us?",1
Everyone should be free to express their culture freely.,1
Muslims hate Christians. They want to kill all of us.,0
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
Responding with violence is exactly what terrorism aims.,1
The presence of mosques does not threaten our religion.,1
Bombs and napalm are to ban for those who have not yet understood that we would all die.,1
Why it's not possible to find a way that leads to tolerance? Is it necessarly to make such an act on those who you do not know?,1
Do you propose castration even for the two police officers in Florence who raped two foreign tourists (assuming that they are found guilty definitively)?,1
"And thinking that it is thanks to the medicine and science and the culture, brought to the West by Islam that we left the Middle Ages.",1
"Neutering a rapist is like cutting the hand of a thief, the law of retaliation! These concepts are truly medieval!",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"Without a little bit of common sense dangerous statements get out, it is better to think before shoot at random.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
Isn't this a cliché?,1
"Stupid generalizations, serious and dangerous.",1
Muslims hate Christians. They want to kill all of us.,0
Personally I've always reputed them people just like you and me. If you want you can try to explain your point of view.,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Not all Italians are Christians, and I think that the churches in Italy are not lacking. Certainly, it does not seem trivial to build as many mosques in the near future.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
? I do not understand.,1
"Good evening, of what diseases are you talking about? Can you send me the link of medical studies or analyses of the phenomenon that support your theory?",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"The number of mosques is not even remotely comparable to the number of churches, let's not panic.",1
Muslims hate Christians. They want to kill all of us.,0
"The path of integration ensures that the respect for individual human rights is acquired. Living with us, and the example we give in this regard will also open their society.",1
"I do not see the problem, so we are all happy, they pray to their god and we pray to ours.",1
"The Islam itself is against terrorism of jihad, we must work with Islam, not criminalize it.",1
The Arabs are a people rich in culture and history and also in contradictions as the so-called Westerns and inciting hatred is uncivilized and blind.,1
"Assuming that no Arab religion, Italian, Spanish, Australian, etc. Exist. And then all religions have their own share of witness and spread of the word. Especially Jehovah's Witnesses and Christians, but I've never heard of Muslims if you are referring to they, who sought to impose their religion even with force.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"No woman agrees to be beaten, be unable to break free from a state of violence and submission does not mean wanting to be in it. The veil if chosen freely should not be a problem for those who simply do not choose it.",1
Don't confuse Islam with Isis. Religion does not lead to terrorism.,1
There is no Islamic invasion of the West. If many of the migrants are Arabs it depends only on the fact that most Middle Eastern countries are affected by crises and wars.,1
On what data is based this statement?,1
"I'm sorry if you have had such a dramatic experience, I assure you that living together may also be non-traumatic, and that in most cases it is.",1
"You're generalizing baseless. Violence cause violence, unfortunately, so between responsible and advanced adults always choose the dialogue option. So we won't return to the Middle Ages.",1
It would be better to listen less to hatred and more to rationality.,1
"Although some newspapers represent a reality like this, there is no evidence that Arab citizens want to impose their religion.",1
"Fanaticism is always dangerous, but you do not fight, when there is, with more fanaticism.",1
"If it was true, we should rather be concerned to defend these women.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
Why do you define them like that? Explain better.,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Islam is a religion of love, the fundamentalism of jihad is not Islamism.",1
Muslims hate Christians. They want to kill all of us.,0
What elements do you have to say it? Like 'Italians are all mobsters.'.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"There are more than 800 churches only in Rome, and about 10 mosques (of which only 5 with the minaret). They are a minority: none (that I know) has ever had the need to build a new church, but everyone is entitled to a place where to practice their religion. The fact that the Islamic community requires that their right is respected does not mean that they are becoming more than the Christians, or more powerful.",1
In most schools the crucifix is,1
"Hi, even if I share any disapproval against those who commit acts of such atrocities, I invite you to reflect on the fact that in such cases it is necessary to go beyond any faith or nationality. There is no religion that admits such acts. Those who think that they can subjugate women and commit violence on them, in the name of an alleged faith, act as criminals, not as religious.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Did you know that there are so many Italian Muslims and many Arabs who are not? Arab nationality does not identify with any religion as the Italian nationality decrees not all Italians as Catholics. If you are referring to the Muslim religion I do not believe there is any Muslim who seek to impose his own faith.,1
"Good evening, in what sense control at our home? Creating a party and presenting at the election? With a coup? Where do I find information about it?",1
Muslims and Christians can live together pacefully.,1
I would prefer the Martians than these fucking Muslims.,0
The beasts.,0
Terrorism does not depend on religion.,1
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Islamics must adapt to our culture and not viceversa.,0
"Hi, do you really believe that the decision to introduce in a part of the school menu a food anyway considered healthy as the couscous is a symptom of an alleged will to impose a religion?",1
"The Koran teaches to the faithful to tolerate other religions and to respect them. Muslims can only transmit their own principles, but without using force.",1
No one wants to impose to remove the crucifix in the classroom. It would be nice that at school everyone would be free to believe what they want and children could share the beauty of having different cultures.,1
But who? Where? In what home?,1
Muslims hate Christians. They want to kill all of us.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
"We must maintain our identity respecting their, and vice-versa.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Answering to violence with violence is not a solution.,1
Die islamic!,0
"Hi, it seems fundamental to me to differentiate between those who commit heinous crimes in the name of an alleged religious faith and those who profess their faith in a peaceful manner and respectful of other cultures, which happens in most cases.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"In reality, the vast majority of Muslims in Syria or Yemen, for example, of which terrorists are a tiny minority, suffers violence and is bombed. They are victims of profit at all costs, of our arms industry.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"So because of Red Brigades also all Italian would be terrorists, because of IRA even all Irish and due to the ETA even all Spanish? In short, here in Europe, we are quite dangerous!",1
A real Islamic invasion is taking place.,0
"Our women whose? Forgive me, but I am a woman, I do not belong to anyone but myself, and I do not think that being Muslim makes someone a violent criminal.",1
Violence is always wrong. Also it's repudiated in our constitution. This post is therefore contrary to the principles at the basis of our state.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
"Your words are full of hatred and violence, don't you think it is dangerous for humans beings to keep putting us against each other for some contrasting positions when there would be a thousand reasons to live in brotherhood?",1
Can you tell me about an incident in which you found yourself living an attempt of conversion?,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Hi, could you explain better what you mean?",1
"Where did you obtain this information from? Did you check if your source was reliable, because the official data deny an increase of the Muslim immigrant population in Italy.",1
"Hello, actually the couscous is also linked to our tradition, especially in south Italy and it is not a matter to impose a practice typical of another religion. Many food experts have recommended the introduction of this food (still a free choice) in school canteens because it is considered a suitable food for healthy nutrition.",1
"In the Koran, there is not even a word that can legitimize or at least justify terrorism. I invite to read it to enrich the general culture.",1
"Terrorism has no culture or ethnicity, how do you accuse of terrorism an entire population? What data do you have?",1
Islamics must adapt to our culture and not viceversa.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"It is not and cannot be only a matter of adaptation. A culture must be understood and this can only be done with good integration projects. All (Catholic Christians and Buddhists), have to adapt to today's multicultural world.",1
I would prefer the Martians than these fucking Muslims.,0
"I read a lot of resentment in your comment. You would welcome more willingly an alien rather than a person exactly like you, but with a different culture?",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Anyone who rape a woman in Italian territory should not be castrated, he will instead serve the sentence that our laws establish.",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"No Arab country has declared its intention to conquer Italy, they know that wouldn't be worthwhile to anyone .",1
"Disrespectful is to impose the crucifix to me, an agnostic.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Really, with napalm. And then where? They are not all terrorists as you say, some belong to ISIS but others are people like you and me.",1
I think that it is very offensive to compare men to animals.,1
The rapists of women have nothing in common except the male gender.,1
"So because of Red Brigades also all Italian would be terrorists, because of IRA even all Irish and due to the ETA even all Spanish? In short, here in Europe, we are quite dangerous!",1
